sub	trial	file	base	vc	vot	f0	choice
AL	58	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
AL	59	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
AL	60	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
AL	61	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
AL	62	pha_vcNone_50_150.wav	pha	vcNone	50	150	p
AL	63	bha_vcNone_25_95.wav	bha	vcNone	25	95	p
AL	64	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
AL	65	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
AL	66	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
AL	67	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
AL	68	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
AL	69	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
AL	70	pha_vcLong_25_95.wav	pha	vcLong	25	95	b
AL	71	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
AL	72	pha_vcNone_50_95.wav	pha	vcNone	50	95	p
AL	73	pha_vcLong_25_123.wav	pha	vcLong	25	123	b
AL	74	bha_vcLong_75_95.wav	bha	vcLong	75	95	b
AL	75	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
AL	76	pha_vcLong_25_150.wav	pha	vcLong	25	150	p
AL	77	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
AL	78	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
AL	79	bha_vcNone_25_123.wav	bha	vcNone	25	123	p
AL	80	bha_vcLong_25_95.wav	bha	vcLong	25	95	b
AL	81	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
AL	82	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
